Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date,Details,Market Cap,Cash on Hand,Net Income,Free Cash Flow,Equity
2/8/2019,$0.73,Quarter,1.70%,N/A,1/29/2019,2/11/2019,2/14/2019,Details,915.54B,"$86,427","$19,965","23,335.00",AAPL
11/8/2018,$0.73,Quarter,1.40%,N/A,11/1/2018,11/12/2018,11/15/2018,Details,941.06B,"$66,301","$14,125","64,121.00",AAPL
8/10/2018,$0.73,Quarter,1.40%,N/A,7/31/2018,8/13/2018,8/16/2018,Details,739.45B,"$70,970","$11,519","47,639.00",AAPL
5/11/2018,$0.73,Quarter,1.50%,+15.9%,5/1/2018,5/14/2018,5/17/2018,Details,1.026T,"$87,940","$13,822","36,418.00",AAPL
2/9/2018,$0.63,Quarter,1.60%,N/A,2/1/2018,2/12/2018,2/15/2018,Details,924.64B,"$77,153","$20,065","25,483.00",AAPL
11/9/2017,$0.63,Quarter,1.40%,N/A,11/2/2017,11/13/2017,11/16/2017,Details,814.54B,"$74,181","$10,714","51,774.00",AAPL
8/10/2017,$0.63,Quarter,1.60%,N/A,8/1/2017,8/14/2017,8/17/2017,Details,905.51B,"$76,759","$8,717","39,890.00",AAPL
5/11/2017,$0.63,Quarter,1.60%,+10.5%,5/2/2017,5/15/2017,5/18/2017,Details,802.24B,"$67,101","$11,029","33,495.00",AAPL
2/9/2017,$0.57,Quarter,1.70%,N/A,1/31/2017,2/13/2017,2/16/2017,Details,776.18B,"$60,452","$17,891","23,900.00",AAPL
11/3/2016,$0.57,Quarter,2.10%,N/A,10/25/2016,11/7/2016,11/10/2016,Details,741.77B,"$67,155","$9,014","53,497.00",AAPL
8/4/2016,$0.57,Quarter,2.20%,N/A,7/26/2016,8/8/2016,8/11/2016,Details,629.58B,"$61,756","$7,796","40,941.00",AAPL
5/5/2016,$0.57,Quarter,2.40%,+9.6%,4/26/2016,5/9/2016,5/12/2016,Details,627.24B,"$55,283","$10,516","33,116.00",AAPL
2/4/2016,$0.52,Quarter,2.20%,N/A,1/26/2016,2/8/2016,2/11/2016,Details,532.27B,"$38,074","$18,361","23,851.00",AAPL
11/5/2015,$0.52,Quarter,1.70%,N/A,10/27/2015,11/9/2015,11/12/2015,Details,595.18B,"$41,601","$11,124","70,019.00",AAPL
8/6/2015,$0.52,Quarter,1.80%,N/A,7/21/2015,8/10/2015,8/13/2015,Details,537.60B,"$34,703","$10,677","60,162.00",AAPL
5/7/2015,$0.52,Quarter,1.70%,+10.6%,4/27/2015,5/11/2015,5/14/2015,Details,625.11B,"$33,096","$13,569","47,217.00",AAPL
2/5/2015,$0.47,Quarter,1.60%,N/A,1/27/2015,2/9/2015,2/12/2015,Details,703.03B,"$32,463","$18,024","30,505.00",AAPL
